[C@H]%15(CCCN=C(N)N)C7=O.[C@H]%16(CCCN=C(N)N)C(N)=O.[C@H]%11(CCCCN)C%29=O.CC[C@H](C)[C@H]8C%28=O.[C@H]%12(CC(=O)O)C%31=O.c1%23ccc(O)cc1.C%13(=O)[C@@H]9C(C)C.[C@H]%12(CCN)C3=O.c1%25ccc(O)cc1.[C@@H]1%17CCCN1%13.C%24(=O)[C@@H]%10C%23.[C@@H]1%17CCCN1%26.N1%29CCC[C@H]1%19.N1%31CCC[C@H]1%20.N13CCC[C@H]1%21.[C@H]%14(C%25)C5=O.N15CCC[C@H]1%22.C%27(=O)CN.C2%17=O.C%24%18=O.C%30%19=O.C3%20=O.C4%21=O.C6%22=O.N28.N%249.N%27%10.N%28%11.N%30%12.N4%14.N6%15.N7%16	CC(C)[C@H](N)C(=O)N1CCC[C@H]1[C@@H]1CCCN1.CC[C@H](C)[C@H](NC=O)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(N)=O.NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)C=O.NCC[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C=O
C3(=O)[C@@H]8CCCN=C(N)N.[C@H]%19(CCCN=C(N)N)C(N)=O.C%14(=O)[C@@H]9CCC(N)=O.c1%20cccc2ccccc12.[C@H]%14(CCCCN)C%27=O.[C@H]%17(CCCCN)C5=O.CC[C@H](C)[C@H]7C%24=O.C%21(=O)[C@@H]%10CC(N)=O.[C@@H]%15(C%26=O)[C@@H](C)CC.[C@@H]%18(C6=O)C(C)C.C%22(=O)[C@@H]%11C%20.[C@H]%12(CS)C%25=O.[C@H]%16(CS)C4=O.[C@H]%17(C)C6=O.N37.N%148.N%219.N%22%10.N%23%11.N%24%12.N%25%13.N%26%15.N%27%16.N4%17.N5%18.N6%19	CC(C)[C@@H]1NC(=O)[C@H](CCCCN)[C@@H](C)C(=O)C1=O.CC[C@H](C)[C@@H]1NC1=O.CC[C@H](C)[C@H](NC(=O)[C@@H](N)CCCN=C(N)N)C(=O)N[C@@H](CS)C(N)=O.NC(=O)[C@@H](N)CCCN=C(N)N.NCCCC[C@@H](C(=O)N[C@@H](CS)C(N)=O)C(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)Cc1cccc2ccccc12
C9(=O)[C@@H](N)CCCN=C(N)N.C2(=O)[C@@H]%16CCCCN.C8(=O)[C@@H]3CCCCN.[C@H]4(CCCCN)C%13=O.[C@H]5(CCC(=O)O)C%14=O.CC(C)[C@H]%15C%10=O.N1%12CCC[C@H]17.[C@H]6(CO)C(=O)O.C%11(=O)[C@H](C)N.C%127=O.N2%15.N9%16.N%103.N%114.N%135.N%146	CC(C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCN=C(N)N)C(=O)N[C@H](C=O)CCCCN.C[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)O.O=C1[C@@H]2CCCN12
C2(=O)[C@@H]%14CCCN=C(N)N.C%13(=O)[C@@H]%15CCCN=C(N)N.C%38(=O)[C@@H]%17CCCN=C(N)N.[C@H]%25(CCCN=C(N)N)C(N)=O.C6(=O)[C@@H]%20CCCCN.CC[C@H](C)[C@H]%12C9=O.C%40(=O)[C@@H]%18CC(C)C.C7(=O)[C@@H]%21CC(=O))O.[C@H]%23(CC(N)=O)C%11=O.c1%33ccc(O)cc1.C8(=O)[C@@H](N)C(C)C.c1%34ccc(O)cc1.[C@@H]1%26CCCN1%35.C%35(=O)[C@@H]%16C%33.[C@@H]1%26CCCN1%36.[C@@H]1%27CCCN1%38.[C@@H]1%28CCCN1%40.[C@@H]1%29CCCN1%41.[C@@H]1%30CCCN15.[C@@H]1%31CCCN16.[C@H]%22(C%34)C%10=O.c1%32cnc[nH]1.C%24%26=O.C%35%27=O.C%37%28=O.C%39%29=O.C4%30=O.C5%31=O.N2%12.N%13%14.N%24%15.N%37%16.N%39%17.N3%18.N4%19.N7%20.N8%21.N9%22.N%10%23.N%11%25	INVALID
CCCCCCCCCCCCCC3=O.[C@H]7(CCCN=C(N)N)C%19=O.[C@H]9(CCCN=C(N)N)C%22=O.[C@H]%13(CCCN=C(N)N)C%25=O.[C@H]8(CCCCN)C%20=O.[C@H]%11(CCCCN)C%23=O.c1%18c[nH]c2ccccc12.[C@H]%16(CCCN)C4=O.[C@@H]%10(C%21=O)C(C)C.[C@@H]%12(C%24=O)C(C)C.[C@@H]%15(C4=O)C(C)C.[C@H]6(C%18)C%14=O.[C@H]%17(C)C(N)=O.N36.N%147.N%198.N%209.N%21%10.N%22%11.N%23%12.N%24%13.N%25%15.N4%16.N5%17	CC(C)[C@@H]1NC1=O.CCCCCCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C(=O)C(=O)[C@@H](N)CCCN)C(C)C)C(C)C.C[C@H](N)C(N)=O
[C@@H]16NC(=O)CNC(=O)[C@H]7NC(=O)CNC(=O)[C@H]8NC(=O)[C@@H]2CSSC[C@H]%41C(=O)N[C@@H]9C(=O)N[C@@H]%10C(=O)N[C@@H]%11C(=O)N[C@@H]%12C(=O)NCC(=O)N[C@@H]%13C(=O)N[C@@H]%14C(=O)N[C@@H]%15C(=O)NCC(=O)N[C@@H]%17C(=O)N2)NC(=O)[C@H]%18NC(=O)CNC(=O)[C@H]%19NC(=O)[C@H]%20NC(=O)[C@H]%21NC1=O)NC(=O)[C@@H]2CCCN3C(=O)CNC(=O)[C@H]%23NC(=O)[C@H]%24NC(=O)CNC(=O)CNC(=O)[C@H]%25NC(=O)[C@H]%28NC(=O)[C@H]%29NC1=O.c1%35c[nH]c2ccccc12.c1%39c[nH]c2ccccc12.[C@H]%45(CCC(=O)O)C%39=O.c1%40c[nH]c2ccccc12.[C@H]6(CC(C)C)C%27=O.[C@@H]7(C%40=O)[C@@H](C)CC.[C@@H]%46(C%42=O)[C@@H](C)O.c1%41ccc(O)cc1.c1%33ccccc1.C5(=O)[C@@H]%44CO.c1%36ccccc1.[C@@H]1%42CCCN1%47.C%16(=O)[C@H](C)N.C8CCCN.C%17CCCN.c1%31cnc[nH]1.C%21CCCN.C%29CCCN.c1%32cnc[nH]1.C%33CCCN.C%34CCCN.C%36CCCN.[C@H]C(C)CC.C%11C(N)=O.C%17C(C)C.[C@H]%13(C)O.C%19C%43.N%10C(=N)N.C%28%42=O.N5%44.N%16%41.N%27%43.C%12%35.C%14O.C%18%37.C%19%43.C%20O.C%22%37.C%23%38.C%24O.C%25%45.C%26O.C%27O.C%30%38	INVALID
[C@H]9(CCCN=C(N)N)C%25=O.[C@H]%15(CCCN=C(N)N)C4=O.[C@H]%17(CCCN=C(N)N)C6=O.c1%19c[nH]c2ccccc12.c1%20c[nH]c2ccccc12.[C@H]%10(CCCCN)C%26=O.c1%21c[nH]c2ccccc12.c1%22c[nH]c2ccccc12.c1%23c[nH]c2ccccc12.CC[C@H](C)[C@H](N)C3=O.[C@H]%18(CC(C)C)C(N)=O.[C@H]7(C%20)C%14=O.N1%26CCC[C@H]1%19.[C@H]%12(C%21)C%28=O.[C@H]%13(C%22)C%30=O.[C@H]%16(C%23)C5=O.C%27%19=O.N37.N%148.N%249.N%25%10.N%27%11.N%28%12.N%29%13.N%30%15.N4%16.N5%17.N6%18	CC(C)C[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(N)=O.CC[C@H](C)[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O.NC=O.NCCCC[C@H](NC(=O)[C@@H](N)CCCN=C(N)N)C(=O)N1CCC[C@H]1c1c[nH]c2ccccc12.O=C1N[C@H]1Cc1c[nH]c2ccccc12
C3(=O)[C@@H]6CCCCN.C%14(=O)[C@@H]7CCCCN.c1%16c[nH]c2ccccc12.C%19(=O)[C@@H](N)CCCCN.[C@H]%10(CCCCN)C%22=O.[C@H]%11(CCCCN)C%23=O.CC[C@H](C)[C@H]5C%20=O.C%17(=O)[C@@H]8CC(C)C.[C@H]9(CC(C)C)C%21=O.[C@H]%13(CC(C)C)C4=O.C%18(=O)[C@@H]9C%16.[C@H]%12(CO)C%24=O.N35.N%145.N%176.N%177.N%188.N%199.N%20%10.N%21%11.N%22%12.N%23%13.N4%15	CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C=O)CO.NCCCC[C@H](N)C(N)=O.NCCCC[C@H](N)C(N)=O
CCCCCCCCCCCC3=O.[C@H]%14(CCN)C%10=O.c19c[nH]c2ccccc12.[C@@H]%17(C%12=O)[C@@H](C)CC.[C@@H]5(C%14=O)[C@@H](C)CC.[C@H]%16(C7)C%11=O.[C@H]4(C8)C%13=O.c18ccccc1.[C@H]6(C9)C(=O)O.c17cnc[nH]1.N3%15.N%10%16.N%11%17.N%124.N%135.N%146	CCCCCCCCCCCC(N)=O.CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CCN)C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2ccccc2)NC1=O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
NC(=O)[C@@H]%14CCCN=C(N)N.C%10(=O)[C@@H]%16CCCN=C(N)N.C%11(=O)[C@@H]4CCCN=C(N)N.c17c[nH]c2ccccc12.c18c[nH]c2ccccc12.c19c[nH]c2ccccc12.C3(=O)[C@@H]%15C6.C%10(=O)[C@@H]%17C7.C%12(=O)[C@@H]5C8.C%13(=O)[C@@H](N)C9.N3%14.N%10%15.N%11%16.N%124.N%135	C[C@H](N)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O.NC(N)=NCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCN=C(N)N)C(=O)C(=O)CCc1c[nH]c2ccccc12
